date,product,category,region,units_sold,revenue,cost
2024-01-03,Laptop Pro,Electronics,North,12,23988,14400
2024-01-03,Wireless Mouse,Accessories,North,45,2025,675
2024-01-04,USB-C Hub,Accessories,South,30,1500,510
2024-01-05,Laptop Pro,Electronics,West,8,15992,9600
2024-01-06,Mechanical Keyboard,Accessories,East,22,3300,1210
2024-01-07,Monitor 27in,Electronics,North,18,8982,5400
2024-01-08,Webcam HD,Accessories,South,55,4950,1925
2024-01-09,Laptop Pro,Electronics,East,15,29985,18000
2024-01-10,Wireless Mouse,Accessories,West,60,2700,900
2024-01-12,USB-C Hub,Accessories,North,42,2100,714
2024-01-14,Monitor 27in,Electronics,South,11,5489,3300
2024-01-15,Mechanical Keyboard,Accessories,West,35,5250,1925
2024-01-16,Laptop Pro,Electronics,South,6,11994,7200
2024-01-17,Webcam HD,Accessories,North,40,3600,1400
2024-01-19,USB-C Hub,Accessories,East,28,1400,476
2024-01-20,Wireless Mouse,Accessories,North,75,3375,1125
2024-01-21,Monitor 27in,Electronics,West,14,6986,4200
2024-01-22,Laptop Pro,Electronics,North,20,39980,24000
2024-01-23,Mechanical Keyboard,Accessories,South,18,2700,990
2024-01-25,Webcam HD,Accessories,West,65,5850,2275
2024-02-01,Laptop Pro,Electronics,East,10,19990,12000
2024-02-02,USB-C Hub,Accessories,South,50,2500,850
2024-02-03,Wireless Mouse,Accessories,North,80,3600,1200
2024-02-05,Monitor 27in,Electronics,East,22,10978,6600
2024-02-06,Mechanical Keyboard,Accessories,North,40,6000,2200
2024-02-07,Laptop Pro,Electronics,West,14,27986,16800
2024-02-08,Webcam HD,Accessories,South,70,6300,2450
2024-02-10,USB-C Hub,Accessories,West,35,1750,595
2024-02-12,Wireless Mouse,Accessories,East,55,2475,825
2024-02-13,Monitor 27in,Electronics,North,16,7984,4800
2024-02-14,Laptop Pro,Electronics,South,9,17991,10800
2024-02-16,Mechanical Keyboard,Accessories,West,28,4200,1540
2024-02-18,Webcam HD,Accessories,North,45,4050,1575
2024-02-19,USB-C Hub,Accessories,East,60,3000,1020
2024-02-20,Wireless Mouse,Accessories,South,90,4050,1350
2024-02-22,Monitor 27in,Electronics,West,19,9481,5700
2024-02-23,Laptop Pro,Electronics,North,18,35982,21600
2024-02-25,Mechanical Keyboard,Accessories,South,32,4800,1760
2024-02-26,Webcam HD,Accessories,West,80,7200,2800
2024-02-28,USB-C Hub,Accessories,North,48,2400,816
2024-03-01,Laptop Pro,Electronics,East,12,23988,14400
2024-03-03,Wireless Mouse,Accessories,West,70,3150,1050
2024-03-04,Monitor 27in,Electronics,South,25,12475,7500
2024-03-05,Mechanical Keyboard,Accessories,East,45,6750,2475
2024-03-06,Webcam HD,Accessories,North,60,5400,2100
2024-03-08,USB-C Hub,Accessories,South,55,2750,935
2024-03-10,Laptop Pro,Electronics,West,16,31984,19200
2024-03-11,Wireless Mouse,Accessories,North,95,4275,1425
2024-03-12,Monitor 27in,Electronics,East,20,9980,6000
2024-03-14,Mechanical Keyboard,Accessories,North,50,7500,2750
2024-03-15,Laptop Pro,Electronics,South,11,21989,13200
2024-03-17,Webcam HD,Accessories,East,75,6750,2625
2024-03-18,USB-C Hub,Accessories,West,65,3250,1105
2024-03-20,Wireless Mouse,Accessories,South,85,3825,1275
2024-03-21,Monitor 27in,Electronics,North,28,13972,8400
2024-03-22,Laptop Pro,Electronics,North,22,43978,26400
2024-03-24,Mechanical Keyboard,Accessories,South,38,5700,2090
2024-03-25,Webcam HD,Accessories,West,90,8100,3150
2024-03-27,USB-C Hub,Accessories,North,72,3600,1224
2024-03-28,Wireless Mouse,Accessories,East,65,2925,975
